DateTime,Open,High,Low,Close
2020-08-20 01:00:00,49920,50070,49801,50069
2020-08-20 02:00:00,50021,50070,49723,49724
2020-08-20 03:00:00,49724,50070,49724,49940
2020-08-20 04:00:00,49898,49898,49700,49702
2020-08-20 05:00:00,49701,49701,49696,49696
2020-08-20 06:00:00,49696,50200,49663,49700
2020-08-20 07:00:00,49993,49993,49904,49904
2020-08-20 08:00:00,49904,50246,49904,50001
2020-08-20 09:00:00,50071,50171,49752,49881
2020-08-20 10:00:00,49880,49881,49751,49843
2020-08-20 11:00:00,49842,49851,49751,49841
2020-08-20 12:00:00,49841,49851,49667,49698
2020-08-20 13:00:00,49698,49705,49650,49654
2020-08-20 14:00:00,49654,49851,49653,49850
2020-08-20 15:00:00,49851,49984,49850,49851
2020-08-20 16:00:00,49851,49851,49750,49850
2020-08-20 17:00:00,49850,49984,49850,49919
2020-08-20 18:00:00,49919,49951,49721,49920
2020-08-20 19:00:00,49920,49950,49901,49949
2020-08-20 20:00:00,49949,50007,49905,49905
2020-08-20 21:00:00,49956,50100,49768,50100
2020-08-20 22:00:00,50099,50151,50008,50151
2020-08-20 23:00:00,50151,50151,50149,50151
2020-08-21 00:00:00,50151,50197,50150,50150
2020-08-21 01:00:00,50006,50280,49930,50099
2020-08-21 02:00:00,50099,50280,50098,50280
2020-08-21 03:00:00,50280,50295,50255,50255
2020-08-21 04:00:00,50152,50279,50040,50205
2020-08-21 05:00:00,50080,50237,50080,50237
2020-08-21 06:00:00,50229,50229,50186,50200
2020-08-21 07:00:00,50200,50295,50200,50294
2020-08-21 08:00:00,50295,50499,50098,50407
2020-08-21 09:00:00,50319,50446,50103,50110
2020-08-21 10:00:00,50110,50374,50110,50159
2020-08-21 11:00:00,50158,50399,50158,50399
2020-08-21 12:00:00,50400,50630,50301,50393
2020-08-21 13:00:00,50393,50393,50211,50233
2020-08-21 14:00:00,50232,50233,50019,50143
2020-08-21 15:00:00,50108,50180,50001,50022
2020-08-21 16:00:00,50021,50224,49990,50150
2020-08-21 17:00:00,50118,50118,50023,50050
2020-08-21 18:00:00,50051,50051,49813,49814
2020-08-21 19:00:00,49904,50000,49833,49833
2020-08-21 20:00:00,49834,50010,49652,50010
2020-08-21 21:00:00,50010,50094,49802,49806
2020-08-21 22:00:00,49857,50008,49806,49996
2020-08-21 23:00:00,49996,49999,49935,49968
2020-08-22 00:00:00,49968,49998,49929,49929
2020-08-22 01:00:00,49930,49997,49850,49852
2020-08-22 02:00:00,49852,49853,49800,49801
2020-08-22 03:00:00,49801,49801,49800,49800
2020-08-22 04:00:00,49801,49849,49801,49848
2020-08-22 05:00:00,49849,49849,49517,49518
2020-08-22 06:00:00,49517,49517,49353,49507
2020-08-22 07:00:00,49506,49506,49200,49290
2020-08-22 08:00:00,49289,49355,49081,49081
2020-08-22 09:00:00,49081,49143,49000,49020
2020-08-22 10:00:00,49020,49086,49018,49084
2020-08-22 11:00:00,49083,49084,49039,49041
2020-08-22 12:00:00,49040,49040,48990,48991
2020-08-22 13:00:00,48990,48998,48900,48998
2020-08-22 14:00:00,48998,49345,48997,49230
2020-08-22 15:00:00,49230,49498,49222,49491
2020-08-22 16:00:00,49490,49640,49402,49562
2020-08-22 17:00:00,49551,49650,49176,49519
2020-08-22 18:00:00,49471,49517,49406,49500
2020-08-22 19:00:00,49519,49519,49470,49471
2020-08-22 20:00:00,49471,49519,49176,49461
2020-08-22 21:00:00,49460,49519,49220,49519
2020-08-22 22:00:00,49519,49520,49426,49499
2020-08-22 23:00:00,49500,49520,49451,49498
2020-08-23 00:00:00,49499,49520,49401,49520
2020-08-23 01:00:00,49520,49586,49519,49586
2020-08-23 02:00:00,49586,49586,49501,49502
2020-08-23 03:00:00,49502,49502,49500,49501
2020-08-23 04:00:00,49487,49487,49324,49325
2020-08-23 05:00:00,49325,49587,49325,49587
2020-08-23 06:00:00,49587,49620,49450,49546
2020-08-23 07:00:00,49546,49670,49545,49670
2020-08-23 08:00:00,49669,49670,49500,49549
2020-08-23 09:00:00,49549,49629,49549,49629
2020-08-23 10:00:00,49629,49630,49503,49603
2020-08-23 11:00:00,49603,49603,49506,49507
